read_2_no00	drug_name	read_2_2	status
d711.	Amitriptyline 10mg tablets	d7	y
d711.	AMITRIPTYLINE 10mg tablets	d7	y
d711.	Amitriptyline 10mg tablets (Teva UK Ltd)	d7	y
d711.	AMITRIPTYLINE HCL TAB 10MG	d7	y
d711.	AMITRIPTYLINE HCl tabs 10mg	d7	y
d711.	Amitriptyline Hydrochloride  Tablets  10 mg	d7	y
d711.	AMITRIPTYLINE HYDROCHLORIDE 10mg	d7	y
d711.	Amitriptyline Hydrochloride Tablets 10 mg	d7	y
d711.	amitriptyline hydrochloride tablets 10mg	d7	y
d711.	AMITRIPTYLINE HYDROCHLORIDE tablets 10mg	d7	y
d711.	Amitriptyline hydrochloride tablets 10mg	d7	y
d711.	Amitriptyline Hydrochloride Tablets 10mg	d7	y
d711.	AMITRIPTYLINE HYDROCHLORIDE TABS 10MG	d7	y
d711.	AMITRIPTYLINE HYDROCHLORIDE tabs 10mg	d7	y
d711.	AMITRIPTYLINE TAB 10	d7	y
d711.	AMITRIPTYLINE TAB 10mg	d7	y
d711.	Amitriptyline tablets 10mg	d7	y
d711.	AMITRIPTYLINE tabs 10 mg	d7	y
d711.	AMITRIPTYLINE TABS 10 MG	d7	y
d712.	AMITRIPTYLINE 25MG	d7	y
d712.	Amitriptyline 25mg tablets	d7	y
d712.	AMITRIPTYLINE 25mg tablets	d7	y
d712.	AMITRIPTYLINE 25mg tabs	d7	y
d712.	AMITRIPTYLINE HCL TAB 25MG	d7	y
d712.	AMITRIPTYLINE HCl tabs 25mg	d7	y
d712.	Amitriptyline Hydrochloride  Tablets  25 mg	d7	y
d712.	AMITRIPTYLINE HYDROCHLORIDE 25MG	d7	y
d712.	AMITRIPTYLINE HYDROCHLORIDE 25mg	d7	y
d712.	AMITRIPTYLINE HYDROCHLORIDE tablets 10mg	d7	y
d712.	Amitriptyline Hydrochloride Tablets 25 mg	d7	y
d712.	AMITRIPTYLINE HYDROCHLORIDE TABLETS 25 MG	d7	y
d712.	AMITRIPTYLINE HYDROCHLORIDE tablets 25mg	d7	y
d712.	Amitriptyline hydrochloride tablets 25mg	d7	y
d712.	amitriptyline hydrochloride tablets 25mg	d7	y
