bnf_code	drug_name	bnf_6	status	ptr_approved
1001010N0AAAAAA	*Mefenamic acid 250mg capsule-P42 0	100101	y	yes_approved
100101	*VIOXX-P42 0	100101	y	yes_approved
40702	Abstral  Sublingual tablets  100 micrograms	40702	y	yes_approved
4070200	Abstral 100microgram sublingual tablets (ProStrakan Ltd)	40702	y	yes_approved
4070200	Abstral 200microgram sublingual tablets (ProStrakan Ltd)	40702	y	yes_approved
4070200	Abstral 300microgram sublingual tablets (ProStrakan Ltd)	40702	y	yes_approved
4070200	Abstral 400microgram sublingual tablets (ProStrakan Ltd)	40702	y	yes_approved
100101080AAAAAA	Aceclofenac  Tablets  100 mg	100101	y	yes_approved
10010100	Aceclofenac 100mg tablets	100101	y	yes_approved
100101080AAAAAA	ACECLOFENAC TABLETS 100MG	100101	y	yes_approved
100101080AAAAAA	Aceclofenac TABS 100MG	100101	y	yes_approved
4070200	Actiq 200microgram lozenges with integral oromucosal appl...	40702	y	yes_approved
4070200	Actiq 400microgram lozenges with integral oromucosal appl...	40702	y	yes_approved
4070100	Acupan 30mg tablets (Meda Pharmaceuticals Ltd)	40701	y	yes_approved
0407010P0BBAAAB	ACUPAN TABLETS 30MG	40701	y	yes_approved
15010403	Alfentanil 1mg/2ml solution for injection ampoules	150104	y	yes_approved
15010403	Alfentanil 5mg/10ml solution for injection ampoules	150104	y	yes_approved
15010403	Alfentanil 5mg/1ml solution for injection ampoules	150104	y	yes_approved
4070200	Alfentanil 5mg/5ml buccal spray	40702	y	yes_approved
1003020I0BBAAAA	Algesal  Cream  10 %	100302	n	
10030250	Algesal cream (Thornton & Ross Ltd)	100302	n	
1003020I0BBAAAA	ALGESAL CREAM 10%	100302	n	
1003020I0BBAAAA	Algesal CREAM 10%	100302	n	
4070401	Almotriptan  Tablets  12.5 mg	40704	n	
4070401	Almotriptan 12.5mg tablets	40704	n	
4070401	ALMOTRIPTAN TABLETS 12.5MG	40704	n	
4070401	ALMOTRIPTAN tabs 12.5mg	40704	n	
4070401	Almotriptan TABS 12.5MG	40704	n	
40801	Alzain  Capsules  100 mg	40801	y	
0403010B0AAAGAG	AMITRIPTYLINE 10MG	40301	y	
4030100	Amitriptyline 10mg tablets	40301	y	
4070402	Amitriptyline 10mg tablets	40704	y	
4070300	Amitriptyline 10mg tablets	40703	y	
0403010B0AAAGAG	AMITRIPTYLINE 10MG TABLETS	40301	y	
0403010B0AAAHAH	AMITRIPTYLINE 25MG TAB	40301	y	
4070402	Amitriptyline 25mg tablets	40704	y	
4030100	Amitriptyline 25mg tablets	40301	y	
4070300	Amitriptyline 25mg tablets	40703	y	
4030100	Amitriptyline 25mg/5ml oral solution sugar free	40301	y	
0403010B0AAAHAH	AMITRIPTYLINE 25MGS	40301	y	
0403010B0AAAAAA	AMITRIPTYLINE 25MGS SR CAPS	40301	y	
40301	AMITRIPTYLINE 50MG CAPS	40301	y	
4070402	Amitriptyline 50mg tablets	40704	y	
4030100	Amitriptyline 50mg tablets	40301	y	
4070300	Amitriptyline 50mg tablets	40703	y	
4070402	Amitriptyline 50mg/5ml oral solution sugar free	40704	y	
4030100	Amitriptyline 50mg/5ml oral solution sugar free	40301	y	
0403010B0AABABA	AMITRIPTYLINE CAP 75MG	40301	y	
4070402	AMITRIPTYLINE HCl tabs 10mg	40704	y	
4070402	AMITRIPTYLINE HCl tabs 25mg	40704	y	
40301	Amitriptyline Hydrochloride  Capsules  25 mg	40301	y	
0403010B0AABABA	Amitriptyline Hydrochloride  Capsules  75 mg	40301	y	
40301	Amitriptyline Hydrochloride  Mixture  Sugar Free 10 mg/5 ml	40301	y	
40301	Amitriptyline Hydrochloride  Oral solution  10 mg/5 ml	40301	y	
40301	Amitriptyline Hydrochloride  Sugar-free oral solution  10 mg/5 ml	40301	y	
0403010B0AAANAN	Amitriptyline Hydrochloride  Sugar-free oral solution  25 mg/5 ml	40301	y	
0403010B0AAAFAF	Amitriptyline Hydrochloride  Sugar-free oral solution  50 mg/5 ml	40301	y	
0403010B0AAAGAG	Amitriptyline Hydrochloride  Tablets  10 mg	40301	y	
0403010B0AAAHAH	Amitriptyline Hydrochloride  Tablets  25 mg	40301	y	
0403010B0AAAIAI	Amitriptyline Hydrochloride  Tablets  50 mg	40301	y	
0403010B0AAAAAA	Amitriptyline Hydrochloride Mr CAPS 25MG	40301	y	
0403010B0AAAAAA	AMITRIPTYLINE HYDROCHLORIDE MR CAPSULES 25MG	40301	y	
0403010B0AAAGAG	AMITRIPTYLINE HYDROCHLORIDE TABLETS 10MG	40301	y	
0403010B0AAAGAG	Amitriptyline Hydrochloride TABLETS 10MG	40301	y	
4030100	Amitriptyline Hydrochloride Tablets 10mg	40301	y	
0403010B0AAAHAH	AMITRIPTYLINE HYDROCHLORIDE TABLETS 25MG	40301	y	
0403010B0AAAHAH	Amitriptyline Hydrochloride TABLETS 25MG	40301	y	
0403010B0AAAIAI	AMITRIPTYLINE HYDROCHLORIDE TABLETS 50MG	40301	y	
0403010B0AAAIAI	Amitriptyline Hydrochloride TABLETS 50MG	40301	y	
0403010B0AAAGAG	Amitriptyline Hydrochloride TABS 10MG	40301	y	
0403010B0AAAHAH	Amitriptyline Hydrochloride TABS 25MG	40301	y	
0403010B0AAAIAI	Amitriptyline Hydrochloride TABS 50MG	40301	y	
0403010B0AAANAN	Amitriptyline Sf Oral SOLN 25MG/5ML	40301	y	
0403010B0AAANAN	AMITRIPTYLINE SF ORAL SOLN 25MG/5ML	40301	y	
0403010B0AABABA	Amitriptyline Sr  Capsules  75 mg	40301	y	
0403010B0AAAGAG	AMITRIPTYLINE TAB 10MG	40301	y	
0403010B0AAAHAH	AMITRIPTYLINE-P42 25mg tablet	40301	y	
4030100	Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd)	40301	n	
4030100	ANAFRANIL caps 25mg	40301	n	
0403010F0BBABAB	ANAFRANIL CAPSULES 25MG	40301	n	
4030100	Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd)	40301	n	
0403010F0BBAFAG	Anafranil Sr TABS 75MG	40301	n	
0403010F0BBABAB	Anafranil-P42 25mg cap	40301	n	
100101	Arcoxia  Tablets  120 mg	100101	y	yes_approved
100101	Arcoxia  Tablets  30 mg	100101	y	yes_approved
100101	Arcoxia  Tablets  60 mg	100101	y	yes_approved
100101	Arcoxia  Tablets  90 mg	100101	y	yes_approved
10010100	Arcoxia 120mg tablets (Grunenthal Ltd)	100101	y	yes_approved
10010100	Arcoxia 120mg tablets (Merck Sharp & Dohme Ltd)	100101	y	yes_approved
10010100	Arcoxia 30mg tablets (Grunenthal Ltd)	100101	y	yes_approved
10010100	Arcoxia 30mg tablets (Merck Sharp & Dohme Ltd)	100101	y	yes_approved
10010100	Arcoxia 60mg tablets (Grunenthal Ltd)	100101	y	yes_approved
10010100	Arcoxia 60mg tablets (Merck Sharp & Dohme Ltd)	100101	y	yes_approved
100101	Arcoxia 60mg TABS 60mg	100101	y	yes_approved
10010100	Arcoxia 90mg tablets (Merck Sharp & Dohme Ltd)	100101	y	yes_approved
100101	ARCOXIA TABLETS 60 MGM	100101	y	yes_approved
100101	ARCOXIA TABLETS 60MG	100101	y	yes_approved
100101	ARCOXIA TABLETS 90 MGM	100101	y	yes_approved
100101	ARCOXIA TABLETS 90MG	100101	y	yes_approved
100101	Arcoxia TABS 60MG	100101	y	yes_approved
100101	Arcoxia TABS 90MG	100101	y	yes_approved
1001010C0BLAAAM	Arthrotec 50  Tablets	100101	y	yes_approved
10010100	Arthrotec 50 gastro-resistant tablets (Pfizer Ltd)	100101	y	yes_approved
1001010C0BLAAAM	ARTHROTEC 50 TABLETS	100101	y	yes_approved
1001010C0BLAAAM	ARTHROTEC 50 TABLETS 50MG+200MCG	100101	y	yes_approved
1001010C0BLAAAM	Arthrotec 50 TABS	100101	y	yes_approved
1001010C0BLAAAM	ARTHROTEC 50MG TABS	100101	y	yes_approved
1001010C0BLABAX	Arthrotec 75  Tablets	100101	y	yes_approved
10010100	Arthrotec 75 gastro-resistant tablets (Pfizer Ltd)	100101	y	yes_approved
1001010C0BLABAX	ARTHROTEC 75 TAB	100101	y	yes_approved
1001010C0BLABAX	ARTHROTEC 75 TABLETS	100101	y	yes_approved
1001010C0BLABAX	Arthrotec 75 TABS	100101	y	yes_approved
0403010C0BBAAAA	Asendis TABS 25MG	40301	n	
0407010B0AAAEAE	Aspirin  Dispersible tablets  300 mg	40701	y	yes_approved
0407010B0AAAEAE	Aspirin  Dispersible Tablets  300 mg	40701	y	yes_approved
0407010B0AAA3A3	Aspirin  E/C Tablets  300 mg	40701	y	yes_approved
0407010B0AAA3A3	Aspirin  E/c tablets  300 mg	40701	y	yes_approved
0407010B0AAAFAF	Aspirin  Tablets  300 mg	40701	y	yes_approved
0407010B0AAA3A3	ASPIRIN 300 MG E/C TAB	40701	y	yes_approved
4070100	Aspirin 300mg dispersible tablets	40701	y	yes_approved
4070100	Aspirin 300mg gastro-resistant tablets	40701	y	yes_approved
4070100	Aspirin 300mg tablets	40701	y	yes_approved
4070100	Aspirin 75mg dispersible tablets	40701	y	
40701	Aspirin And Metoclopramide  Oral Powder Sachets Sugar Free  900 mg + 10 mg	40701	y	
0407010B0AAAEAE	ASPIRIN DISPERSIBLE TABLETS 300MG	40701	y	yes_approved
0407010B0AAAEAE	Aspirin Dispersible TABS 300MG	40701	y	yes_approved
0407010B0AAA3A3	ASPIRIN EC 300 MGM TABS	40701	y	yes_approved
0407010B0AAA3A3	ASPIRIN EC TABLETS 300MG	40701	y	yes_approved
0407010B0AAA3A3	Aspirin Ec TABS 300MG	40701	y	yes_approved
