drug_name	status	ptr_approved
4Head sticks (Dendron Ltd)	n	
ACUPAN tablets 30mg [3M]	y	yes_approved
ALGIPAN cream [WYETH CONS]	n	
ALGIPAN spray [WYETH CONS]	n	
AMITRIPTYLINE tablets 25mg [CROSS-PHAR]	y	
APSIFEN tablets 400mg [APS]	y	yes_approved
ARJUN cream 0.5% [ARJUN]	n	
ARJUN cream 1% [ARJUN]	n	
ARJUN cream 2% [ARJUN]	n	
ASPELLIN liniment [RPR/FISONS]	n	
ASPIRIN tablets 300mg [CO-OPERATI]	y	yes_approved
ATIVAN tablets 1mg [WYETH PHAR]	n	
Abstral 100microgram sublingual tablets (ProStrakan Ltd)	y	yes_approved
Abstral 200microgram sublingual tablets (ProStrakan Ltd)	y	yes_approved
Abstral 300microgram sublingual tablets (ProStrakan Ltd)	y	yes_approved
Abstral 400microgram sublingual tablets (ProStrakan Ltd)	y	yes_approved
Abstral 600microgram sublingual tablets (ProStrakan Ltd)	y	yes_approved
Aceclofenac 100mg tablets	y	yes_approved
Acemetacin 60mg capsules	y	yes_approved
Actiq 200microgram lozenges with integral oromucosal applicator (Teva UK Ltd)	y	yes_approved
Acupan 30mg tablets (Meda Pharmaceuticals Ltd)	y	yes_approved
Agomelatine 25mg tablets	n	
Alfentanil 1mg/2ml solution for injection ampoules	y	yes_approved
Alfentanil 5mg/10ml solution for injection ampoules	y	yes_approved
Alfentanil 5mg/1ml solution for injection ampoules	y	yes_approved
Algesal cream (Thornton & Ross Ltd)	n	
Alimemazine 10mg tablets	n	
Alimemazine 30mg/5ml oral solution	n	
Alka-Seltzer XS effervescent tablets (Bayer Plc)	y	yes_approved
Allegron 10mg tablets (King Pharmaceuticals Ltd)	y	
Allegron 25mg tablets (King Pharmaceuticals Ltd)	y	
Almogran 12.5mg tablets (Almirall Ltd)	n	
Almotriptan 12.5mg tablets	n	
Alzain 150mg capsules (Dr Reddy's Laboratories (UK) Ltd)	y	
Alzain 25mg capsules (Dr Reddy's Laboratories (UK) Ltd)	y	
Alzain 50mg capsules (Dr Reddy's Laboratories (UK) Ltd)	y	
Alzain 75mg capsules (Dr Reddy's Laboratories (UK) Ltd)	y	
Amitriptyline 10mg tablets	y	
Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd)	y	
Amitriptyline 10mg tablets (Actavis UK Ltd)	y	
Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd)	y	
Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd)	y	
Amitriptyline 10mg tablets (Teva UK Ltd)	y	
Amitriptyline 10mg tablets (Wockhardt UK Ltd)	y	
Amitriptyline 10mg/5ml oral solution sugar free	y	
Amitriptyline 25mg modified-release capsules	y	
Amitriptyline 25mg tablets	y	
Amitriptyline 25mg tablets (Actavis UK Ltd)	y	
Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd)	y	
Amitriptyline 25mg tablets (Sandoz Ltd)	y	
Amitriptyline 25mg tablets (Teva UK Ltd)	y	
Amitriptyline 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)	y	
Amitriptyline 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)	y	
Amitriptyline 50mg modified-release capsules	y	
Amitriptyline 50mg tablets (Actavis UK Ltd)	y	
Amitriptyline 50mg tablets (Almus Pharmaceuticals Ltd)	y	
Amitriptyline 50mg tablets (Wockhardt UK Ltd)	y	
Amitriptyline 50mg/5ml oral solution sugar free	y	
Amitriptyline 50mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)	y	
Amoxapine 50mg tablets	n	
Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd)	n	
Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd)	n	
Anafranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)	n	
Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd)	n	
Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd)	n	
AquaSoothe 1% cream (Ennogen Healthcare Ltd)	n	
Arcoxia 120mg tablets (Grunenthal Ltd)	y	yes_approved
Arcoxia 30mg tablets (Grunenthal Ltd)	y	yes_approved
Arcoxia 60mg tablets (Grunenthal Ltd)	y	yes_approved
Arcoxia 90mg tablets (Grunenthal Ltd)	y	yes_approved
Arjun 1% cream (Arjun Products Ltd)	n	
Arthrofen 200 tablets (Ashbourne Pharmaceuticals Ltd)	y	yes_approved
Arthrofen 400 tablets (Ashbourne Pharmaceuticals Ltd)	y	yes_approved
Arthrofen 600 tablets (Ashbourne Pharmaceuticals Ltd)	y	yes_approved
Arthrosin 250 tablets (Ashbourne Pharmaceuticals Ltd)	y	yes_approved
Arthrotec 50 gastro-resistant tablets (Pfizer Ltd)	y	yes_approved
Arthrotec 75 gastro-resistant tablets (Pfizer Ltd)	y	yes_approved
Aspav dispersible tablets (Actavis UK Ltd)	y	yes_approved
Aspirin 150mg suppositories	y	yes_approved
Aspirin 300mg dispersible tablets (Actavis UK Ltd)	y	yes_approved
Aspirin 300mg dispersible tablets (Aspar Pharmaceuticals Ltd)	y	yes_approved
Aspirin 300mg gastro-resistant tablets	y	yes_approved
Aspirin 300mg gastro-resistant tablets (Sandoz Ltd)	y	yes_approved
Aspirin 300mg suppositories	y	yes_approved
Aspirin 300mg tablets	y	yes_approved
Aspirin 300mg tablets (Aspar Pharmaceuticals Ltd)	y	yes_approved
Aspirin 300mg tablets (Sigma Pharmaceuticals Plc)	y	yes_approved
Aspirin 325mg / Caffeine 15mg tablets	y	yes_approved
Aspirin 500mg / Codeine 8mg dispersible tablets sugar free	y	yes_approved
Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free	y	yes_approved
Axsain 0.075% cream (Teva UK Ltd)	n	
Azapropazone 600mg tablets	y	yes_approved
BENORILATE suspension 2g/5ml [APS]	y	yes_approved
BOLVIDON tablets 10mg [ORGANON]	n	
BRUFEN retard tablets 800mg [BGP PROD]	y	yes_approved
Balmosa cream (Galen Consumer Ltd)	n	
Benoral 2g/5ml oral suspension (Sanofi-Synthelabo Ltd)	n	
Benoral 750mg tablets (Sanofi-Synthelabo Ltd)	n	
Benorilate 2g granules sachets sugar free	y	yes_approved
Benorilate 2g/5ml oral suspension sugar free	y	yes_approved
Benorilate 2g/5ml oral suspension sugar free (Mylan Ltd)	y	yes_approved
Benorilate 750mg tablets	y	yes_approved
Benzydamine 3% cream	n	
Beta-Prograne 160mg modified-release capsules (Teva UK Ltd)	n	
Bextra 10mg tablets (Pfizer Ltd)	y	yes_approved
Bextra 20mg tablets (Pfizer Ltd)	y	yes_approved
Bextra 40mg tablets (Pfizer Ltd)	y	yes_approved
Brexidol 20mg tablets (Chiesi Ltd)	y	yes_approved
Brufen 100mg/5ml syrup (BGP Products Ltd)	y	yes_approved
Brufen 200mg tablets (Abbott Laboratories Ltd)	y	yes_approved
Brufen 400mg tablets (BGP Products Ltd)	y	yes_approved
Brufen 600mg effervescent granules sachets (BGP Products Ltd)	y	yes_approved
Brufen 600mg tablets (BGP Products Ltd)	y	yes_approved
Brufen Retard 800mg tablets (BGP Products Ltd)	y	yes_approved
BuTrans 10micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)	y	yes_approved
BuTrans 15micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)	y	yes_approved
BuTrans 20micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)	y	yes_approved
BuTrans 5micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)	y	yes_approved
Buccolam 2.5mg/0.5ml oromucosal solution pre-filled oral syringes (Shire Pharmaceuticals Ltd)	n	
Buprenorphine 10micrograms/hour transdermal patches	y	yes_approved
Buprenorphine 15micrograms/hour transdermal patches	y	yes_approved
Buprenorphine 200microgram sublingual tablets sugar free	y	yes_approved
Buprenorphine 20micrograms/hour transdermal patches	y	yes_approved
Buprenorphine 2mg / Naloxone 500microgram sublingual tablets sugar free	y	yes_approved
